"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Add to cart books","1","0","Проверка добавления элемента в корзину на странице книги","0"
"0","","0","Sort books page","1","0","Сортировки элементов на странице книги","0"
"0","","0","Display per apparel shoes page","1","0","Проверка отображения кол-ва элементов на странице одежа и обувь","0"
"0","","0","Registration","1","0","Выход из системы","0"
"0","","0","Cart qty","1","0","Проверка ко-ва элементов в корзине","0"
"0","","0","Login","1","0","Проверка успешной авторизации","0"
"0","","0","View as apparel shoes page","1","0","Проверка отображения элементов списком или сеткой","0"
"0","","0","Display per books page","1","0","Проверка отображения кол-ва элементов на странице книги","0"
"0","","0","Checkout","1","0","Оформление заказа","0"
"0","","0","Registration","1","0","Успешная регистрация нового пользователя","0"
